class	Precursor_MZ
Cinnamic acids and derivatives	163.048
Cinnamic acids and derivatives	359.1
Cinnamic acids and derivatives	223.08
Flavonoids	445.097
Isoflavonoids	253.061
Benzopyrans	421.1
Flavonoids	447.12
Flavonoids	303.065
Peptidomimetics	1380.83
Peptidomimetics	972.59
Peptidomimetics	648.728
Peptidomimetics	1140.7
Peptidomimetics	1154.72
Erythrina alkaloids	312.1
Erythrina alkaloids	280.1
Erythrina alkaloids	328.1
Erythrina alkaloids	296.1
Erythrina alkaloids	300.1
Erythrina alkaloids	268.1
Erythrina alkaloids	298.1
Erythrina alkaloids	266.0
Erythrina alkaloids	330.2
Erythrina alkaloids	298.1
Erythrina alkaloids	314.1
Erythrina alkaloids	282.1
Erythrina alkaloids	310.1
Erythrina alkaloids	278.1
2-arylbenzofuran flavonoids	327.3
2-arylbenzofuran flavonoids	203.1
2-arylbenzofuran flavonoids	325.1
2-arylbenzofuran flavonoids	310.1
2-arylbenzofuran flavonoids	295.0
Cinnamaldehydes	261.11
Naphthopyrans	283.091
Cinnamaldehydes	259.109
Naphthopyrans	243.097
Indenes and isoindenes	259.1
Indenes and isoindenes	281.073
Indenes and isoindenes	257.094
Organooxygen compounds	407.17
Benzofurans	233.115
Benzofurans	255.097
Indenes and isoindenes	215.11
Indenes and isoindenes	159.04
Indenes and isoindenes	237.085
Isocoumarins and derivatives	231.097
Organooxygen compounds	407.166
Organooxygen compounds	245.12
Organooxygen compounds	407.17
Organooxygen compounds	245.12
Coumarins and derivatives	231.104
Naphthopyrans	243.097
Prenol lipids	283.092
Prenol lipids	299.086
Indoles and derivatives	276.164
Indoles and derivatives	219.108
Steroids and steroid derivatives	579.287
Steroids and steroid derivatives	513.304
Prenol lipids	345.128
Prenol lipids	347.155
Imidazopyrimidines	226.109
Imidazopyrimidines	216.087
Prenol lipids	361.128
Prenol lipids	359.108
Furofurans	347.15
Prenol lipids	303.233
Prenol lipids	325.21
Prenol lipids	301.211
Isoflavonoids	285.075
Isoflavonoids	307.056
Isoflavonoids	283.055
Isoflavonoids	269.078
Isoflavonoids	267.07
Isoflavonoids	271.06
Isoflavonoids	293.167
Isoflavonoids	269.039
Fatty Acyls	693.406
Fatty Acyls	669.406
Furofurans	421.18
Furofurans	443.162
Furanoid lignans	373.196
Furanoid lignans	395.18
Furanoid lignans	373.198
Furanoid lignans	395.178
Furanoid lignans	411.159
Furanoid lignans	401.152
Furanoid lignans	417.182
Furanoid lignans	455.151
Flavonoids	299.06
Flavonoids	269.073
Flavonoids	307.04
Flavonoids	315.079
Flavonoids	353.186
Flavonoids	313.066
Lactones	247.126
Lactones	269.073
Lactones	284.323
Lactones	345.124
Prenol lipids	367.104
Prenol lipids	383.1
Prenol lipids	231.133
Prenol lipids	253.134
Furofurans	349.151
Furofurans	371.134
Prenol lipids	465.17
Prenol lipids	487.15
Hydroxy acids and derivatives	401.092
Flavonoids	291.076
Flavonoids	313.06
Flavonoids	289.064
Flavonoids	291.077
Flavonoids	289.064
Flavonoids	307.074
Flavonoids	305.059
Protoberberine alkaloids and derivatives	342.2
Prenol lipids	375.138
Prenol lipids	375.138
Cinnamic acids and derivatives	239.091
Cinnamic acids and derivatives	320.233
Cinnamic acids and derivatives	342.13
Cinnamic acids and derivatives	221.078
Phenol ethers	320.15
Phenol ethers	342.128
Cinnamic acids and derivatives	356.09
Cinnamic acids and derivatives	334.11
Cinnamic acids and derivatives	356.09
Organooxygen compounds	211.09
Oxazinanes	197.11
Oxazinanes	400.163
Oxazinanes	426.143
Steroids and steroid derivatives	271.163
Quinolines and derivatives	280.04
Quinolines and derivatives	282.051
Quinolines and derivatives	294.08
Organic sulfonic acids and derivatives	206.982
Organic sulfonic acids and derivatives	182.99
Triazines	252.017
Triazines	274.0
Triazines	250.001
Benzene and substituted derivatives	219.177
Organic sulfonic acids and derivatives	225.007
Organic sulfonic acids and derivatives	227.023
Organic sulfonic acids and derivatives	249.001
Fatty Acyls	187.098
Alkyl halides	498.924
Organic phosphonic acids and derivatives	270.991
Steroids and steroid derivatives	407.163
Benzene and substituted derivatives	376.98
Naphthalenes	306.18
Benzene and substituted derivatives	166.123
Organic sulfuric acids and derivatives	265.142
Benzene and substituted derivatives	470.298
Benzimidazoles	346.12
Benzimidazoles	344.11
Steroids and steroid derivatives	315.187
Steroids and steroid derivatives	359.217
Quinolines and derivatives	324.099
Quinolines and derivatives	346.082
Lactams	408.133
Steroids and steroid derivatives	843.362
Benzothiazepines	384.165
Benzothiazepines	382.158
Fatty Acyls	186.111
Fatty Acyls	210.102
Carboxylic acids and derivatives	160.13
Flavonoids	317.06
Flavonoids	315.051
Carboxylic acids and derivatives	1209.63
Benzene and substituted derivatives	389.16
Indoles and derivatives	233.13
Indoles and derivatives	255.105
Carboxylic acids and derivatives	450.132
Alkyl halides	498.936
Quinolines and derivatives	420.152
Imidazopyrimidines	307.169
Prenol lipids	339.23
Prenol lipids	361.204
Prenol lipids	487.116
Prenol lipids	465.135
Prenol lipids	487.115
Prenol lipids	503.09
Aporphines	356.117
Aporphines	336.023
Flavonoids	579.107
Flavonoids	601.089
Flavonoids	577.16
Phenol ethers	272.065
Aporphines	266.058
Benzene and substituted derivatives	197.062
Phenol ethers	195.084
Flavonoids	627.09
Flavonoids	649.062
Flavonoids	625.148
Flavonoids	449.08
Flavonoids	447.112
Flavonoids	433.074
Flavonoids	455.055
Flavonoids	431.114
Flavonoids	597.12
Flavonoids	619.091
Flavonoids	595.172
Flavonoids	271.036
Flavonoids	269.058
Prenol lipids	243.077
Prenol lipids	241.089
Flavonoids	579.121
Flavonoids	601.101
Ergoline and derivatives	584.279
Naphthalenes	309.143
Naphthalenes	331.122
Organooxygen compounds	193.07
Organooxygen compounds	191.051
Carboxylic acids and derivatives	256.082
Carboxylic acids and derivatives	254.06
Quinolines and derivatives	393.166
Quinolines and derivatives	391.151
Quinolines and derivatives	360.128
Quinolines and derivatives	402.178
Quinolines and derivatives	332.139
Quinolines and derivatives	362.143
Quinolines and derivatives	376.158
Quinolines and derivatives	374.143
Flavonoids	313.07
Lactones	363.142
Flavonoids	317.095
Flavonoids	315.079
Organooxygen compounds	156.062
Organooxygen compounds	154.049
Carboxylic acids and derivatives	445.14
Flavonoids	331.076
Flavonoids	329.062
Flavonoids	315.079
Flavonoids	313.063
Naphthalenes	189.049
Coumarins and derivatives	177.051
Coumarins and derivatives	175.042
Coumarins and derivatives	191.064
Coumarins and derivatives	205.05
Coumarins and derivatives	177.052
Coumarins and derivatives	219.07
Flavonoids	327.116
Organooxygen compounds	169.05
Perylenequinones	353.1
Perylenequinones	335.091
Coumarins and derivatives	259.066
Perylenequinones	351.217
Organooxygen compounds	517.2
Organooxygen compounds	515.1
Organooxygen compounds	369.1
Organooxygen compounds	367.1
Organooxygen compounds	517.1
Organooxygen compounds	515.1
Flavonoids	465.1
Flavonoids	463.1
Flavonoids	597.2
Flavonoids	595.1
Flavonoids	507.1
Organooxygen compounds	355.1
Organooxygen compounds	353.1
Organooxygen compounds	337.1
Organooxygen compounds	355.1
Organooxygen compounds	353.1
Flavonoids	449.1
Flavonoids	447.1
Flavonoids	433.1
Flavonoids	431.1
Flavonoids	435.1
Flavonoids	433.1
Aurone flavonoids	269.0
Linear 1,3-diarylpropanoids	271.0
Protoberberine alkaloids and derivatives	326.143
Organooxygen compounds	476.077
Fluorenes	417.095
Fluorenes	431.109
Diazanaphthalenes	283.071
Indoles and derivatives	467.21
Organooxygen compounds	582.366
Peptidomimetics	1101.43
Peptidomimetics	1255.63
Pyrroles	322.191
Sphingolipids	538.52
Quinolines and derivatives	270.199
Quinolines and derivatives	298.22
Macrolactams	601.0
Peptidomimetics	1081.59
Organooxygen compounds	924.0
Diazanaphthalenes	221.107
Pyridines and derivatives	224.0
Diazanaphthalenes	189.0
Diazanaphthalenes	191.08
Diazanaphthalenes	175.05
Diazanaphthalenes	173.0
Pyridines and derivatives	207.09
Pyridines and derivatives	220.11
Pyridines and derivatives	206.09
Pyridines and derivatives	220.11
Pyridines and derivatives	220.11
Pyridines and derivatives	274.08
Pyridines and derivatives	240.05
Pyridines and derivatives	257.1
Thioethers	238.07
Pyridines and derivatives	236.11
Aporphines	276.0
Aporphines	268.0
Benzene and substituted derivatives	302.004
Benzene and substituted derivatives	254.018
Benzene and substituted derivatives	210.068
Benzene and substituted derivatives	254.018
Benzene and substituted derivatives	194.098
Thioethers	287.074
Thioethers	287.074
Benzene and substituted derivatives	194.098
Benzene and substituted derivatives	300.139
Benzene and substituted derivatives	194.098
Benzene and substituted derivatives	254.018
Benzene and substituted derivatives	526.713
Benzene and substituted derivatives	526.713
Benzene and substituted derivatives	560.674
Benzene and substituted derivatives	604.624
Benzene and substituted derivatives	594.635
Benzene and substituted derivatives	638.585
Benzene and substituted derivatives	682.534
Benzene and substituted derivatives	652.61
Phenols	278.866
Benzene and substituted derivatives	542.708
Pyrroles	551.61
Benzene and substituted derivatives	500.7
Benzene and substituted derivatives	420.79
Aryl halides	604.52
Benzofurans	471.68
Benzene and substituted derivatives	420.79
Benzene and substituted derivatives	500.7
Benzene and substituted derivatives	450.78
Benzene and substituted derivatives	450.78
Benzene and substituted derivatives	450.78
Benzene and substituted derivatives	450.78
Flavonoids	315.086
Flavonoids	313.0
Pyrans	321.13
Flavonoids	421.13
Flavonoids	423.14
Flavonoids	421.12
Benzene and substituted derivatives	210.06
Benzene and substituted derivatives	379.914
Benzene and substituted derivatives	427.9
Benzene and substituted derivatives	427.9
Pyridines and derivatives	177.1
Benzene and substituted derivatives	273.16
Benzene and substituted derivatives	427.9
Thioethers	410.007
Prenol lipids	631.234
Prenol lipids	659.267
Prenol lipids	671.267
Prenol lipids	693.252
Prenol lipids	673.247
Prenol lipids	713.278
Prenol lipids	735.262
Prenol lipids	665.293
Prenol lipids	637.262
Prenol lipids	679.309
Prenol lipids	637.262
Benzene and substituted derivatives	211.06
Benzene and substituted derivatives	213.076
Prenol lipids	821.395
Prenol lipids	823.411
Phthalide isoquinolines	414.154
Phenols	153.055
Cinnamic acids and derivatives	509.16
Cinnamic acids and derivatives	507.14
Flavonoids	389.086
Flavonoids	403.101
Flavonoids	327.086
Flavonoids	299.055
Flavonoids	329.066
Flavonoids	405.118
Flavonoids	373.092
Flavonoids	343.081
Flavonoids	427.098
Flavonoids	329.102
Flavonoids	351.083
Flavonoids	301.07
Flavonoids	331.081
Flavonoids	345.097
Flavonoids	391.104
Flavonoids	375.107
Flavonoids	357.095
Flavonoids	359.112
Flavonoids	375.107
Flavonoids	419.133
Benzene and substituted derivatives	211.061
Benzene and substituted derivatives	213.079
Benzene and substituted derivatives	235.058
Benzene and substituted derivatives	251.033
Organooxygen compounds	295.079
Benzene and substituted derivatives	166.123
Prenol lipids	821.393
Phthalide isoquinolines	414.154
Phthalide isoquinolines	436.136
Phthalide isoquinolines	452.111
Phenols	153.055
Prenol lipids	423.129
Prenol lipids	447.126
Prenol lipids	407.134
Prenol lipids	431.13
Flavonolignans	505.112
Flavonolignans	481.116
Anthracenes	241.05
Anthracenes	263.032
Anthracenes	239.039
Azoles	181.033
Imidazopyrimidines	181.071
Coumarins and derivatives	147.044
Isoquinolines and derivatives	340.154
Cinchona alkaloids	325.19
Anthracenes	271.006
Imidazopyrimidines	181.072
Phenols	153.054
Phenols	151.039
Yohimbine alkaloids	355.201
Emetine alkaloids	481.305
Tetrapyrroles and derivatives	563.27
Tetrapyrroles and derivatives	655.277
Tetrapyrroles and derivatives	655.279
Tetrapyrroles and derivatives	616.188
Organooxygen compounds	296.2
Quinolines and derivatives	298.217
Benzene and substituted derivatives	265.155
Organooxygen compounds	924.515
Organooxygen compounds	924.517
Organooxygen compounds	924.516
Organooxygen compounds	924.517
Carboxylic acids and derivatives	512.12
Purine nucleosides	297.96
Pyrimidine nucleosides	258.76
Carboxylic acids and derivatives	722.446
Purine nucleosides	283.93
Purine nucleosides	267.86
Carboxylic acids and derivatives	1235.74
Carboxylic acids and derivatives	618.371
Macrolactams	1233.75
Macrolactams	617.377
Macrolactams	614.347
Macrolactams	1227.69
Macrolactams	1225.71
Macrolactams	613.357
Indoles and derivatives	471.07
Indoles and derivatives	327.238
Indoles and derivatives	301.13
Peptidomimetics	840.497
Peptidomimetics	882.506
Indoles and derivatives	471.072
Indoles and derivatives	453.059
Indoles and derivatives	457.056
Indoles and derivatives	325.019
Indoles and derivatives	289.146
Macrolactams	489.143
Macrolactams	511.123
Macrolactams	543.093
Macrolactams	521.11
Macrolactams	537.109
Macrolactams	428.329
Indoles and derivatives	267.016
Indoles and derivatives	288.994
Indoles and derivatives	251.012
Indoles and derivatives	251.012
Prenol lipids	804.528
Prenol lipids	804.529
Prenol lipids	802.516
Prenol lipids	842.507
Prenol lipids	770.486
Prenol lipids	828.528
Prenol lipids	789.54
Prenol lipids	822.545
Prenol lipids	844.525
Prenol lipids	844.526
Prenol lipids	804.531
Prenol lipids	822.54
Prenol lipids	832.526
Prenol lipids	872.523
Prenol lipids	850.537
Prenol lipids	814.514
Prenol lipids	834.541
Prenol lipids	874.532
Prenol lipids	852.552
Prenol lipids	804.529
Tetrapyrroles and derivatives	765.311
Tetrapyrroles and derivatives	680.288
Saturated hydrocarbons	409.29
Saturated hydrocarbons	431.27
Peptidomimetics	1463.78
Peptidomimetics	732.397
Prenol lipids	201.047
Prenol lipids	337.174
Peptidomimetics	799.518
Carboxylic acids and derivatives	480.25
Phenylpropanoic acids	207.137
Carboxylic acids and derivatives	799.422
Carboxylic acids and derivatives	821.403
Benzene and substituted derivatives	373.237
Prenol lipids	341.21
